mode,process_id,workload_name,algorithm,allocation_policy,memory_frames,repetition_id,duration_ns,metadata,duration_ms
shared_total,,trace-driven,LRU,LocalAllocation,4,1,10600,{'interleave': 'trace-order'},0.0106
shared,0,sample_trace,LRU,LocalAllocation,4,1,3100,{'interleave': 'trace-order'},0.0031
shared,1,sample_trace,LRU,LocalAllocation,4,1,3300,{'interleave': 'trace-order'},0.0033
shared_total,,trace-driven,LRU,LocalAllocation,4,2,9400,{'interleave': 'trace-order'},0.0094
shared,0,sample_trace,LRU,LocalAllocation,4,2,2700,{'interleave': 'trace-order'},0.0027
shared,1,sample_trace,LRU,LocalAllocation,4,2,3200,{'interleave': 'trace-order'},0.0032
shared_total,,trace-driven,LRU,LocalAllocation,4,3,10200,{'interleave': 'trace-order'},0.0102
shared,0,sample_trace,LRU,LocalAllocation,4,3,3000,{'interleave': 'trace-order'},0.003
shared,1,sample_trace,LRU,LocalAllocation,4,3,2900,{'interleave': 'trace-order'},0.0029
shared_total,,trace-driven,LRU,LocalAllocation,4,4,9500,{'interleave': 'trace-order'},0.0095
shared,0,sample_trace,LRU,LocalAllocation,4,4,2700,{'interleave': 'trace-order'},0.0027
shared,1,sample_trace,LRU,LocalAllocation,4,4,2900,{'interleave': 'trace-order'},0.0029
shared_total,,trace-driven,LRU,LocalAllocation,4,5,18300,{'interleave': 'trace-order'},0.0183
shared,0,sample_trace,LRU,LocalAllocation,4,5,5000,{'interleave': 'trace-order'},0.005
shared,1,sample_trace,LRU,LocalAllocation,4,5,6100,{'interleave': 'trace-order'},0.0061
shared_total,,trace-driven,LRU,LocalAllocation,4,6,16200,{'interleave': 'trace-order'},0.0162
shared,0,sample_trace,LRU,LocalAllocation,4,6,4000,{'interleave': 'trace-order'},0.004
shared,1,sample_trace,LRU,LocalAllocation,4,6,5400,{'interleave': 'trace-order'},0.0054
shared_total,,trace-driven,LRU,LocalAllocation,4,7,14300,{'interleave': 'trace-order'},0.0143
shared,0,sample_trace,LRU,LocalAllocation,4,7,3700,{'interleave': 'trace-order'},0.0037
shared,1,sample_trace,LRU,LocalAllocation,4,7,5200,{'interleave': 'trace-order'},0.0052
shared_total,,trace-driven,LRU,ProportionalAllocation,4,0,19900,{'interleave': 'trace-order'},0.0199
shared,0,sample_trace,LRU,ProportionalAllocation,4,0,5100,{'interleave': 'trace-order'},0.0051
