mode,process_id,workload_name,algorithm,allocation_policy,memory_frames,repetition_id,duration_ns,metadata,duration_ms
shared,1,demo_locality,FIFO,ProportionalAllocation,4,6,1500,{'interleave': 'trace-order'},0.0015
shared_total,,trace-driven,FIFO,ProportionalAllocation,4,7,6700,{'interleave': 'trace-order'},0.0067
shared,0,demo_locality,FIFO,ProportionalAllocation,4,7,1800,{'interleave': 'trace-order'},0.0018
shared,1,demo_locality,FIFO,ProportionalAllocation,4,7,1500,{'interleave': 'trace-order'},0.0015
shared_total,,trace-driven,FIFO,ProportionalAllocation,4,8,7000,{'interleave': 'trace-order'},0.007
shared,0,demo_locality,FIFO,ProportionalAllocation,4,8,1600,{'interleave': 'trace-order'},0.0016
shared,1,demo_locality,FIFO,ProportionalAllocation,4,8,1500,{'interleave': 'trace-order'},0.0015
shared_total,,trace-driven,FIFO,ProportionalAllocation,4,9,6800,{'interleave': 'trace-order'},0.0068
shared,0,demo_locality,FIFO,ProportionalAllocation,4,9,1700,{'interleave': 'trace-order'},0.0017
shared,1,demo_locality,FIFO,ProportionalAllocation,4,9,1500,{'interleave': 'trace-order'},0.0015
shared_total,,trace-driven,LRU,GlobalAllocation,4,0,13800,{'interleave': 'trace-order'},0.0138
shared,0,demo_locality,LRU,GlobalAllocation,4,0,4000,{'interleave': 'trace-order'},0.004
shared,1,demo_locality,LRU,GlobalAllocation,4,0,4100,{'interleave': 'trace-order'},0.0041
shared_total,,trace-driven,LRU,GlobalAllocation,4,1,11300,{'interleave': 'trace-order'},0.0113
shared,0,demo_locality,LRU,GlobalAllocation,4,1,3400,{'interleave': 'trace-order'},0.0034
shared,1,demo_locality,LRU,GlobalAllocation,4,1,3200,{'interleave': 'trace-order'},0.0032
shared_total,,trace-driven,LRU,GlobalAllocation,4,2,9700,{'interleave': 'trace-order'},0.0097
shared,0,demo_locality,LRU,GlobalAllocation,4,2,3000,{'interleave': 'trace-order'},0.003
shared,1,demo_locality,LRU,GlobalAllocation,4,2,3000,{'interleave': 'trace-order'},0.003
shared_total,,trace-driven,LRU,GlobalAllocation,4,3,10100,{'interleave': 'trace-order'},0.0101
shared,0,demo_locality,LRU,GlobalAllocation,4,3,3300,{'interleave': 'trace-order'},0.0033
shared,1,demo_locality,LRU,GlobalAllocation,4,3,2800,{'interleave': 'trace-order'},0.0028
shared_total,,trace-driven,LRU,GlobalAllocation,4,4,9100,{'interleave': 'trace-order'},0.0091
shared,0,demo_locality,LRU,GlobalAllocation,4,4,2800,{'interleave': 'trace-order'},0.0028
shared,1,demo_locality,LRU,GlobalAllocation,4,4,2800,{'interleave': 'trace-order'},0.0028
shared_total,,trace-driven,LRU,GlobalAllocation,4,5,13900,{'interleave': 'trace-order'},0.0139
shared,0,demo_locality,LRU,GlobalAllocation,4,5,4000,{'interleave': 'trace-order'},0.004
shared,1,demo_locality,LRU,GlobalAllocation,4,5,4400,{'interleave': 'trace-order'},0.0044
shared_total,,trace-driven,LRU,GlobalAllocation,4,6,9600,{'interleave': 'trace-order'},0.0096
shared,0,demo_locality,LRU,GlobalAllocation,4,6,3000,{'interleave': 'trace-order'},0.003
shared,1,demo_locality,LRU,GlobalAllocation,4,6,2900,{'interleave': 'trace-order'},0.0029
shared_total,,trace-driven,LRU,GlobalAllocation,4,7,8600,{'interleave': 'trace-order'},0.0086
shared,0,demo_locality,LRU,GlobalAllocation,4,7,2600,{'interleave': 'trace-order'},0.0026
shared,1,demo_locality,LRU,GlobalAllocation,4,7,2600,{'interleave': 'trace-order'},0.0026
shared_total,,trace-driven,LRU,GlobalAllocation,4,8,8300,{'interleave': 'trace-order'},0.0083
shared,0,demo_locality,LRU,GlobalAllocation,4,8,2500,{'interleave': 'trace-order'},0.0025
shared,1,demo_locality,LRU,GlobalAllocation,4,8,2500,{'interleave': 'trace-order'},0.0025
shared_total,,trace-driven,LRU,GlobalAllocation,4,9,9100,{'interleave': 'trace-order'},0.0091
shared,0,demo_locality,LRU,GlobalAllocation,4,9,2500,{'interleave': 'trace-order'},0.0025
shared,1,demo_locality,LRU,GlobalAllocation,4,9,2400,{'interleave': 'trace-order'},0.0024
shared_total,,trace-driven,LRU,LocalAllocation,4,0,10300,{'interleave': 'trace-order'},0.0103
shared,0,demo_locality,LRU,LocalAllocation,4,0,2800,{'interleave': 'trace-order'},0.0028
shared,1,demo_locality,LRU,LocalAllocation,4,0,2400,{'interleave': 'trace-order'},0.0024
shared_total,,trace-driven,LRU,LocalAllocation,4,1,8300,{'interleave': 'trace-order'},0.0083
shared,0,demo_locality,LRU,LocalAllocation,4,1,2500,{'interleave': 'trace-order'},0.0025
shared,1,demo_locality,LRU,LocalAllocation,4,1,1900,{'interleave': 'trace-order'},0.0019
shared_total,,trace-driven,LRU,LocalAllocation,4,2,8400,{'interleave': 'trace-order'},0.0084
shared,0,demo_locality,LRU,LocalAllocation,4,2,2600,{'interleave': 'trace-order'},0.0026
shared,1,demo_locality,LRU,LocalAllocation,4,2,2000,{'interleave': 'trace-order'},0.002
shared_total,,trace-driven,LRU,LocalAllocation,4,3,7800,{'interleave': 'trace-order'},0.0078
shared,0,demo_locality,LRU,LocalAllocation,4,3,2300,{'interleave': 'trace-order'},0.0023
shared,1,demo_locality,LRU,LocalAllocation,4,3,1800,{'interleave': 'trace-order'},0.0018
shared_total,,trace-driven,LRU,LocalAllocation,4,4,7700,{'interleave': 'trace-order'},0.0077
shared,0,demo_locality,LRU,LocalAllocation,4,4,2300,{'interleave': 'trace-order'},0.0023
shared,1,demo_locality,LRU,LocalAllocation,4,4,1800,{'interleave': 'trace-order'},0.0018
shared_total,,trace-driven,LRU,LocalAllocation,4,5,7800,{'interleave': 'trace-order'},0.0078
shared,0,demo_locality,LRU,LocalAllocation,4,5,2200,{'interleave': 'trace-order'},0.0022
shared,1,demo_locality,LRU,LocalAllocation,4,5,1600,{'interleave': 'trace-order'},0.0016
shared_total,,trace-driven,LRU,LocalAllocation,4,6,7700,{'interleave': 'trace-order'},0.0077
shared,0,demo_locality,LRU,LocalAllocation,4,6,2200,{'interleave': 'trace-order'},0.0022
shared,1,demo_locality,LRU,LocalAllocation,4,6,1700,{'interleave': 'trace-order'},0.0017
shared_total,,trace-driven,LRU,LocalAllocation,4,7,7600,{'interleave': 'trace-order'},0.0076
shared,0,demo_locality,LRU,LocalAllocation,4,7,2100,{'interleave': 'trace-order'},0.0021
shared,1,demo_locality,LRU,LocalAllocation,4,7,1600,{'interleave': 'trace-order'},0.0016
shared_total,,trace-driven,LRU,LocalAllocation,4,8,7200,{'interleave': 'trace-order'},0.0072
shared,0,demo_locality,LRU,LocalAllocation,4,8,2100,{'interleave': 'trace-order'},0.0021
shared,1,demo_locality,LRU,LocalAllocation,4,8,1500,{'interleave': 'trace-order'},0.0015
shared_total,,trace-driven,LRU,LocalAllocation,4,9,7200,{'interleave': 'trace-order'},0.0072
shared,0,demo_locality,LRU,LocalAllocation,4,9,2100,{'interleave': 'trace-order'},0.0021
shared,1,demo_locality,LRU,LocalAllocation,4,9,1700,{'interleave': 'trace-order'},0.0017
shared_total,,trace-driven,LRU,ProportionalAllocation,4,0,9800,{'interleave': 'trace-order'},0.0098
shared,0,demo_locality,LRU,ProportionalAllocation,4,0,2400,{'interleave': 'trace-order'},0.0024
shared,1,demo_locality,LRU,ProportionalAllocation,4,0,2000,{'interleave': 'trace-order'},0.002
shared_total,,trace-driven,LRU,ProportionalAllocation,4,1,8600,{'interleave': 'trace-order'},0.0086
shared,0,demo_locality,LRU,ProportionalAllocation,4,1,2400,{'interleave': 'trace-order'},0.0024
shared,1,demo_locality,LRU,ProportionalAllocation,4,1,2000,{'interleave': 'trace-order'},0.002
shared_total,,trace-driven,LRU,ProportionalAllocation,4,2,8200,{'interleave': 'trace-order'},0.0082
shared,0,demo_locality,LRU,ProportionalAllocation,4,2,2300,{'interleave': 'trace-order'},0.0023
shared,1,demo_locality,LRU,ProportionalAllocation,4,2,1900,{'interleave': 'trace-order'},0.0019
shared_total,,trace-driven,LRU,ProportionalAllocation,4,3,7500,{'interleave': 'trace-order'},0.0075
shared,0,demo_locality,LRU,ProportionalAllocation,4,3,2100,{'interleave': 'trace-order'},0.0021
shared,1,demo_locality,LRU,ProportionalAllocation,4,3,1600,{'interleave': 'trace-order'},0.0016
shared_total,,trace-driven,LRU,ProportionalAllocation,4,4,7200,{'interleave': 'trace-order'},0.0072
shared,0,demo_locality,LRU,ProportionalAllocation,4,4,2100,{'interleave': 'trace-order'},0.0021
shared,1,demo_locality,LRU,ProportionalAllocation,4,4,1700,{'interleave': 'trace-order'},0.0017
shared_total,,trace-driven,LRU,ProportionalAllocation,4,5,7200,{'interleave': 'trace-order'},0.0072
shared,0,demo_locality,LRU,ProportionalAllocation,4,5,2000,{'interleave': 'trace-order'},0.002
shared,1,demo_locality,LRU,ProportionalAllocation,4,5,1600,{'interleave': 'trace-order'},0.0016
shared_total,,trace-driven,LRU,ProportionalAllocation,4,6,7800,{'interleave': 'trace-order'},0.0078
shared,0,demo_locality,LRU,ProportionalAllocation,4,6,2100,{'interleave': 'trace-order'},0.0021
shared,1,demo_locality,LRU,ProportionalAllocation,4,6,1600,{'interleave': 'trace-order'},0.0016
shared_total,,trace-driven,LRU,ProportionalAllocation,4,7,7600,{'interleave': 'trace-order'},0.0076
shared,0,demo_locality,LRU,ProportionalAllocation,4,7,2200,{'interleave': 'trace-order'},0.0022
shared,1,demo_locality,LRU,ProportionalAllocation,4,7,1800,{'interleave': 'trace-order'},0.0018
shared_total,,trace-driven,LRU,ProportionalAllocation,4,8,7300,{'interleave': 'trace-order'},0.0073
shared,0,demo_locality,LRU,ProportionalAllocation,4,8,2000,{'interleave': 'trace-order'},0.002
shared,1,demo_locality,LRU,ProportionalAllocation,4,8,1800,{'interleave': 'trace-order'},0.0018
shared_total,,trace-driven,LRU,ProportionalAllocation,4,9,7100,{'interleave': 'trace-order'},0.0071
shared,0,demo_locality,LRU,ProportionalAllocation,4,9,2000,{'interleave': 'trace-order'},0.002
shared,1,demo_locality,LRU,ProportionalAllocation,4,9,1600,{'interleave': 'trace-order'},0.0016
shared_total,,trace-driven,NRU,GlobalAllocation,4,0,12900,{'interleave': 'trace-order'},0.0129
shared,0,demo_locality,NRU,GlobalAllocation,4,0,3800,{'interleave': 'trace-order'},0.0038
shared,1,demo_locality,NRU,GlobalAllocation,4,0,3300,{'interleave': 'trace-order'},0.0033
shared_total,,trace-driven,NRU,GlobalAllocation,4,1,10700,{'interleave': 'trace-order'},0.0107
shared,0,demo_locality,NRU,GlobalAllocation,4,1,3200,{'interleave': 'trace-order'},0.0032
shared,1,demo_locality,NRU,GlobalAllocation,4,1,3200,{'interleave': 'trace-order'},0.0032
shared_total,,trace-driven,NRU,GlobalAllocation,4,2,10300,{'interleave': 'trace-order'},0.0103
shared,0,demo_locality,NRU,GlobalAllocation,4,2,3300,{'interleave': 'trace-order'},0.0033
shared,1,demo_locality,NRU,GlobalAllocation,4,2,2900,{'interleave': 'trace-order'},0.0029
shared_total,,trace-driven,NRU,GlobalAllocation,4,3,16900,{'interleave': 'trace-order'},0.0169
shared,0,demo_locality,NRU,GlobalAllocation,4,3,4100,{'interleave': 'trace-order'},0.0041
shared,1,demo_locality,NRU,GlobalAllocation,4,3,4100,{'interleave': 'trace-order'},0.0041
shared_total,,trace-driven,NRU,GlobalAllocation,4,4,9900,{'interleave': 'trace-order'},0.0099
shared,0,demo_locality,NRU,GlobalAllocation,4,4,2900,{'interleave': 'trace-order'},0.0029
shared,1,demo_locality,NRU,GlobalAllocation,4,4,2900,{'interleave': 'trace-order'},0.0029
shared_total,,trace-driven,NRU,GlobalAllocation,4,5,9100,{'interleave': 'trace-order'},0.0091
shared,0,demo_locality,NRU,GlobalAllocation,4,5,2800,{'interleave': 'trace-order'},0.0028
shared,1,demo_locality,NRU,GlobalAllocation,4,5,2700,{'interleave': 'trace-order'},0.0027
shared_total,,trace-driven,NRU,GlobalAllocation,4,6,17000,{'interleave': 'trace-order'},0.017
