mode,process_id,workload_name,algorithm,allocation_policy,memory_frames,repetition_id,duration_ns,metadata,duration_ms
shared_total,,trace-driven,NRU,LocalAllocation,5,0,13600,{'interleave': 'trace-order'},0.0136
shared,0,sample_trace,NRU,LocalAllocation,5,0,3300,{'interleave': 'trace-order'},0.0033
shared,1,sample_trace,NRU,LocalAllocation,5,0,4500,{'interleave': 'trace-order'},0.0045
shared_total,,trace-driven,NRU,LocalAllocation,5,1,10900,{'interleave': 'trace-order'},0.0109
shared,0,sample_trace,NRU,LocalAllocation,5,1,2700,{'interleave': 'trace-order'},0.0027
shared,1,sample_trace,NRU,LocalAllocation,5,1,3800,{'interleave': 'trace-order'},0.0038
shared_total,,trace-driven,NRU,ProportionalAllocation,5,0,10600,{'interleave': 'trace-order'},0.0106
shared,0,sample_trace,NRU,ProportionalAllocation,5,0,2800,{'interleave': 'trace-order'},0.0028
shared,1,sample_trace,NRU,ProportionalAllocation,5,0,2400,{'interleave': 'trace-order'},0.0024
shared_total,,trace-driven,NRU,ProportionalAllocation,5,1,9200,{'interleave': 'trace-order'},0.0092
shared,0,sample_trace,NRU,ProportionalAllocation,5,1,2300,{'interleave': 'trace-order'},0.0023
shared,1,sample_trace,NRU,ProportionalAllocation,5,1,2300,{'interleave': 'trace-order'},0.0023
shared_total,,trace-driven,SecondChance,GlobalAllocation,5,0,13700,{'interleave': 'trace-order'},0.0137
shared,0,sample_trace,SecondChance,GlobalAllocation,5,0,3800,{'interleave': 'trace-order'},0.0038
shared,1,sample_trace,SecondChance,GlobalAllocation,5,0,4200,{'interleave': 'trace-order'},0.0042
shared_total,,trace-driven,SecondChance,GlobalAllocation,5,1,12100,{'interleave': 'trace-order'},0.0121
shared,0,sample_trace,SecondChance,GlobalAllocation,5,1,3500,{'interleave': 'trace-order'},0.0035
shared,1,sample_trace,SecondChance,GlobalAllocation,5,1,3900,{'interleave': 'trace-order'},0.0039
