profile,workload_name,algorithm,allocation_policy,memory_frames,process_id,trials,mean_ns,median_ns,std_ns,cv,min_ns,max_ns,range_ns
trace_quiet,sample_trace,SecondChance,ProportionalAllocation,4,1,8,3187.5,2650.0,1165.5,0.365647,2500.0,5800.0,3300.0
trace_quiet,sample_trace,SecondChance,ProportionalAllocation,5,0,8,2412.5,2400.0,180.77,0.074931,2200.0,2800.0,600.0
trace_quiet,sample_trace,SecondChance,ProportionalAllocation,5,1,8,2687.5,2600.0,299.7,0.111517,2500.0,3400.0,900.0
trace_quiet,sample_trace,SecondChance,ProportionalAllocation,6,0,8,2775.0,2450.0,786.95,0.283585,2300.0,4500.0,2200.0
trace_quiet,sample_trace,SecondChance,ProportionalAllocation,6,1,8,2937.5,2600.0,757.7,0.25794,2500.0,4700.0,2200.0
trace_quiet,sample_trace,SecondChance,ProportionalAllocation,8,0,8,2450.0,2400.0,141.42,0.057723,2300.0,2700.0,400.0
trace_quiet,sample_trace,SecondChance,ProportionalAllocation,8,1,8,2725.0,2650.0,328.42,0.12052,2400.0,3500.0,1100.0
trace_quiet,sample_trace,WSClock,GlobalAllocation,4,0,8,4075.0,3000.0,1902.44,0.466857,2500.0,6800.0,4300.0
trace_quiet,sample_trace,WSClock,GlobalAllocation,4,1,8,3975.0,2950.0,1696.85,0.426879,2800.0,6700.0,3900.0
trace_quiet,sample_trace,WSClock,GlobalAllocation,5,0,8,3037.5,2700.0,627.78,0.206676,2600.0,4300.0,1700.0
trace_quiet,sample_trace,WSClock,GlobalAllocation,5,1,8,2950.0,2850.0,256.35,0.086898,2700.0,3400.0,700.0
trace_quiet,sample_trace,WSClock,GlobalAllocation,6,0,8,5337.5,4850.0,1313.6,0.246107,3600.0,7600.0,4000.0
trace_quiet,sample_trace,WSClock,GlobalAllocation,6,1,8,5200.0,5100.0,801.78,0.154189,3900.0,6500.0,2600.0
trace_quiet,sample_trace,WSClock,GlobalAllocation,8,0,8,3025.0,2950.0,611.2,0.202051,2500.0,4300.0,1800.0
trace_quiet,sample_trace,WSClock,GlobalAllocation,8,1,8,3100.0,3000.0,440.78,0.142187,2700.0,4100.0,1400.0
trace_quiet,sample_trace,WSClock,LocalAllocation,4,0,8,3700.0,4000.0,701.02,0.189465,2500.0,4400.0,1900.0
trace_quiet,sample_trace,WSClock,LocalAllocation,4,1,8,4112.5,4600.0,883.88,0.214926,2600.0,4800.0,2200.0
trace_quiet,sample_trace,WSClock,LocalAllocation,5,0,8,2425.0,2400.0,198.21,0.081735,2100.0,2800.0,700.0
trace_quiet,sample_trace,WSClock,LocalAllocation,5,1,8,2625.0,2600.0,128.17,0.048828,2500.0,2900.0,400.0
trace_quiet,sample_trace,WSClock,LocalAllocation,6,0,8,2725.0,2450.0,658.46,0.241637,2300.0,4300.0,2000.0
