workload_label,workload_kind,trace_name,algorithm,allocation_policy,memory_frames,repetition_id,process_id,t_isolated_ms,t_shared_ms,slowdown,page_faults,replacements,disk_reads,disk_writes
trace-driven,trace,demo_locality,LRU,LocalAllocation,4,2,1,0.0022,0.002,0.9090909090909091,1,0,1,0
trace-driven,trace,demo_locality,LRU,LocalAllocation,4,3,0,0.0023,0.0023,1.0,1,0,1,0
trace-driven,trace,demo_locality,LRU,LocalAllocation,4,3,1,0.0025,0.0018,0.72,1,0,1,0
trace-driven,trace,demo_locality,LRU,LocalAllocation,4,4,0,0.0021,0.0023,1.0952380952380953,1,0,1,0
trace-driven,trace,demo_locality,LRU,LocalAllocation,4,4,1,0.0022,0.0018,0.8181818181818182,1,0,1,0
trace-driven,trace,demo_locality,LRU,LocalAllocation,4,5,0,0.0021,0.0022,1.0476190476190477,1,0,1,0
trace-driven,trace,demo_locality,LRU,LocalAllocation,4,5,1,0.0023,0.0016,0.6956521739130435,1,0,1,0
trace-driven,trace,demo_locality,LRU,LocalAllocation,4,6,0,0.0022,0.0022,1.0,1,0,1,0
trace-driven,trace,demo_locality,LRU,LocalAllocation,4,6,1,0.0022,0.0017,0.7727272727272727,1,0,1,0
trace-driven,trace,demo_locality,LRU,LocalAllocation,4,7,0,0.0022,0.0021,0.9545454545454546,1,0,1,0
trace-driven,trace,demo_locality,LRU,LocalAllocation,4,7,1,0.0022,0.0016,0.7272727272727273,1,0,1,0
trace-driven,trace,demo_locality,LRU,LocalAllocation,4,8,0,0.0021,0.0021,1.0,1,0,1,0
trace-driven,trace,demo_locality,LRU,LocalAllocation,4,8,1,0.0022,0.0015,0.6818181818181818,1,0,1,0
trace-driven,trace,demo_locality,LRU,LocalAllocation,4,9,0,0.0021,0.0021,1.0,1,0,1,0
trace-driven,trace,demo_locality,LRU,LocalAllocation,4,9,1,0.0023,0.0017,0.7391304347826086,1,0,1,0
trace-driven,trace,demo_locality,LRU,ProportionalAllocation,4,0,0,0.0024,0.0024,1.0,1,0,1,0
trace-driven,trace,demo_locality,LRU,ProportionalAllocation,4,0,1,0.0023,0.002,0.8695652173913043,1,0,1,0
trace-driven,trace,demo_locality,LRU,ProportionalAllocation,4,1,0,0.0024,0.0024,1.0,1,0,1,0
trace-driven,trace,demo_locality,LRU,ProportionalAllocation,4,1,1,0.0022,0.002,0.9090909090909091,1,0,1,0
trace-driven,trace,demo_locality,LRU,ProportionalAllocation,4,2,0,0.0022,0.0023,1.0454545454545454,1,0,1,0
trace-driven,trace,demo_locality,LRU,ProportionalAllocation,4,2,1,0.0023,0.0019,0.8260869565217391,1,0,1,0
trace-driven,trace,demo_locality,LRU,ProportionalAllocation,4,3,0,0.0022,0.0021,0.9545454545454546,1,0,1,0
trace-driven,trace,demo_locality,LRU,ProportionalAllocation,4,3,1,0.0021,0.0016,0.7619047619047619,1,0,1,0
trace-driven,trace,demo_locality,LRU,ProportionalAllocation,4,4,0,0.0022,0.0021,0.9545454545454546,1,0,1,0
trace-driven,trace,demo_locality,LRU,ProportionalAllocation,4,4,1,0.0023,0.0017,0.7391304347826086,1,0,1,0
trace-driven,trace,demo_locality,LRU,ProportionalAllocation,4,5,0,0.0022,0.002,0.9090909090909091,1,0,1,0
trace-driven,trace,demo_locality,LRU,ProportionalAllocation,4,5,1,0.0022,0.0016,0.7272727272727273,1,0,1,0
trace-driven,trace,demo_locality,LRU,ProportionalAllocation,4,6,0,0.0022,0.0021,0.9545454545454546,1,0,1,0
trace-driven,trace,demo_locality,LRU,ProportionalAllocation,4,6,1,0.0022,0.0016,0.7272727272727273,1,0,1,0
trace-driven,trace,demo_locality,LRU,ProportionalAllocation,4,7,0,0.0023,0.0022,0.9565217391304348,1,0,1,0
trace-driven,trace,demo_locality,LRU,ProportionalAllocation,4,7,1,0.0022,0.0018,0.8181818181818182,1,0,1,0
trace-driven,trace,demo_locality,LRU,ProportionalAllocation,4,8,0,0.0022,0.002,0.9090909090909091,1,0,1,0
trace-driven,trace,demo_locality,LRU,ProportionalAllocation,4,8,1,0.0021,0.0018,0.8571428571428571,1,0,1,0
trace-driven,trace,demo_locality,LRU,ProportionalAllocation,4,9,0,0.0028,0.002,0.7142857142857143,1,0,1,0
trace-driven,trace,demo_locality,LRU,ProportionalAllocation,4,9,1,0.0022,0.0016,0.7272727272727273,1,0,1,0
trace-driven,trace,demo_locality,NRU,GlobalAllocation,4,0,0,0.0031,0.0038,1.2258064516129032,1,,,
trace-driven,trace,demo_locality,NRU,GlobalAllocation,4,0,1,0.0027,0.0033,1.2222222222222223,1,,,
trace-driven,trace,demo_locality,NRU,GlobalAllocation,4,1,0,0.0031,0.0032,1.032258064516129,1,,,
trace-driven,trace,demo_locality,NRU,GlobalAllocation,4,1,1,0.0027,0.0032,1.1851851851851851,1,,,
trace-driven,trace,demo_locality,NRU,GlobalAllocation,4,2,0,0.0026,0.0033,1.2692307692307692,1,,,
trace-driven,trace,demo_locality,NRU,GlobalAllocation,4,2,1,0.0027,0.0029,1.0740740740740742,1,,,
