mode,process_id,workload_name,algorithm,allocation_policy,memory_frames,repetition_id,duration_ns,metadata,duration_ms
shared,0,sample_trace,FIFO,ProportionalAllocation,5,1,2300,{'interleave': 'trace-order'},0.0023
shared,1,sample_trace,FIFO,ProportionalAllocation,5,1,2100,{'interleave': 'trace-order'},0.0021
shared_total,,trace-driven,LRU,GlobalAllocation,5,0,15500,{'interleave': 'trace-order'},0.0155
shared,0,sample_trace,LRU,GlobalAllocation,5,0,4300,{'interleave': 'trace-order'},0.0043
shared,1,sample_trace,LRU,GlobalAllocation,5,0,4500,{'interleave': 'trace-order'},0.0045
shared_total,,trace-driven,LRU,GlobalAllocation,5,1,12900,{'interleave': 'trace-order'},0.0129
shared,0,sample_trace,LRU,GlobalAllocation,5,1,3800,{'interleave': 'trace-order'},0.0038
shared,1,sample_trace,LRU,GlobalAllocation,5,1,4200,{'interleave': 'trace-order'},0.0042
shared_total,,trace-driven,LRU,LocalAllocation,5,0,13100,{'interleave': 'trace-order'},0.0131
shared,0,sample_trace,LRU,LocalAllocation,5,0,3600,{'interleave': 'trace-order'},0.0036
shared,1,sample_trace,LRU,LocalAllocation,5,0,3800,{'interleave': 'trace-order'},0.0038
shared_total,,trace-driven,LRU,LocalAllocation,5,1,9700,{'interleave': 'trace-order'},0.0097
shared,0,sample_trace,LRU,LocalAllocation,5,1,2900,{'interleave': 'trace-order'},0.0029
shared,1,sample_trace,LRU,LocalAllocation,5,1,3000,{'interleave': 'trace-order'},0.003
shared_total,,trace-driven,LRU,ProportionalAllocation,5,0,15100,{'interleave': 'trace-order'},0.0151
shared,0,sample_trace,LRU,ProportionalAllocation,5,0,3400,{'interleave': 'trace-order'},0.0034
shared,1,sample_trace,LRU,ProportionalAllocation,5,0,2400,{'interleave': 'trace-order'},0.0024
shared_total,,trace-driven,LRU,ProportionalAllocation,5,1,9400,{'interleave': 'trace-order'},0.0094
shared,0,sample_trace,LRU,ProportionalAllocation,5,1,2500,{'interleave': 'trace-order'},0.0025
shared,1,sample_trace,LRU,ProportionalAllocation,5,1,2400,{'interleave': 'trace-order'},0.0024
shared_total,,trace-driven,NRU,GlobalAllocation,5,0,14500,{'interleave': 'trace-order'},0.0145
shared,0,sample_trace,NRU,GlobalAllocation,5,0,4200,{'interleave': 'trace-order'},0.0042
shared,1,sample_trace,NRU,GlobalAllocation,5,0,4100,{'interleave': 'trace-order'},0.0041
shared_total,,trace-driven,NRU,GlobalAllocation,5,1,12500,{'interleave': 'trace-order'},0.0125
shared,0,sample_trace,NRU,GlobalAllocation,5,1,3600,{'interleave': 'trace-order'},0.0036
shared,1,sample_trace,NRU,GlobalAllocation,5,1,4200,{'interleave': 'trace-order'},0.0042
shared_total,,trace-driven,NRU,LocalAllocation,5,0,13200,{'interleave': 'trace-order'},0.0132
shared,0,sample_trace,NRU,LocalAllocation,5,0,3000,{'interleave': 'trace-order'},0.003
shared,1,sample_trace,NRU,LocalAllocation,5,0,4600,{'interleave': 'trace-order'},0.0046
shared_total,,trace-driven,NRU,LocalAllocation,5,1,11200,{'interleave': 'trace-order'},0.0112
shared,0,sample_trace,NRU,LocalAllocation,5,1,2800,{'interleave': 'trace-order'},0.0028
shared,1,sample_trace,NRU,LocalAllocation,5,1,4000,{'interleave': 'trace-order'},0.004
shared_total,,trace-driven,NRU,ProportionalAllocation,5,0,11000,{'interleave': 'trace-order'},0.011
shared,0,sample_trace,NRU,ProportionalAllocation,5,0,3000,{'interleave': 'trace-order'},0.003
shared,1,sample_trace,NRU,ProportionalAllocation,5,0,2200,{'interleave': 'trace-order'},0.0022
shared_total,,trace-driven,NRU,ProportionalAllocation,5,1,8800,{'interleave': 'trace-order'},0.0088
shared,0,sample_trace,NRU,ProportionalAllocation,5,1,2400,{'interleave': 'trace-order'},0.0024
shared,1,sample_trace,NRU,ProportionalAllocation,5,1,2000,{'interleave': 'trace-order'},0.002
shared_total,,trace-driven,SecondChance,GlobalAllocation,5,0,13400,{'interleave': 'trace-order'},0.0134
shared,0,sample_trace,SecondChance,GlobalAllocation,5,0,3700,{'interleave': 'trace-order'},0.0037
shared,1,sample_trace,SecondChance,GlobalAllocation,5,0,3900,{'interleave': 'trace-order'},0.0039
shared_total,,trace-driven,SecondChance,GlobalAllocation,5,1,11600,{'interleave': 'trace-order'},0.0116
shared,0,sample_trace,SecondChance,GlobalAllocation,5,1,3400,{'interleave': 'trace-order'},0.0034
shared,1,sample_trace,SecondChance,GlobalAllocation,5,1,3800,{'interleave': 'trace-order'},0.0038
shared_total,,trace-driven,SecondChance,LocalAllocation,5,0,14200,{'interleave': 'trace-order'},0.0142
shared,0,sample_trace,SecondChance,LocalAllocation,5,0,3600,{'interleave': 'trace-order'},0.0036
shared,1,sample_trace,SecondChance,LocalAllocation,5,0,4000,{'interleave': 'trace-order'},0.004
shared_total,,trace-driven,SecondChance,LocalAllocation,5,1,15700,{'interleave': 'trace-order'},0.0157
shared,0,sample_trace,SecondChance,LocalAllocation,5,1,3800,{'interleave': 'trace-order'},0.0038
shared,1,sample_trace,SecondChance,LocalAllocation,5,1,5100,{'interleave': 'trace-order'},0.0051
shared_total,,trace-driven,SecondChance,ProportionalAllocation,5,0,11900,{'interleave': 'trace-order'},0.0119
shared,0,sample_trace,SecondChance,ProportionalAllocation,5,0,3200,{'interleave': 'trace-order'},0.0032
shared,1,sample_trace,SecondChance,ProportionalAllocation,5,0,2200,{'interleave': 'trace-order'},0.0022
shared_total,,trace-driven,SecondChance,ProportionalAllocation,5,1,10100,{'interleave': 'trace-order'},0.0101
shared,0,sample_trace,SecondChance,ProportionalAllocation,5,1,3200,{'interleave': 'trace-order'},0.0032
shared,1,sample_trace,SecondChance,ProportionalAllocation,5,1,2200,{'interleave': 'trace-order'},0.0022
shared_total,,trace-driven,WSClock,GlobalAllocation,5,0,14400,{'interleave': 'trace-order'},0.0144
shared,0,sample_trace,WSClock,GlobalAllocation,5,0,4000,{'interleave': 'trace-order'},0.004
shared,1,sample_trace,WSClock,GlobalAllocation,5,0,4200,{'interleave': 'trace-order'},0.0042
shared_total,,trace-driven,WSClock,GlobalAllocation,5,1,12900,{'interleave': 'trace-order'},0.0129
shared,0,sample_trace,WSClock,GlobalAllocation,5,1,3900,{'interleave': 'trace-order'},0.0039
shared,1,sample_trace,WSClock,GlobalAllocation,5,1,4000,{'interleave': 'trace-order'},0.004
shared_total,,trace-driven,WSClock,LocalAllocation,5,0,13000,{'interleave': 'trace-order'},0.013
