source_file,trial,workload_kind,workload_label,trace_name,algorithm,allocation_policy,total_frames,process_count,page_faults,page_replacements,disk_reads,disk_writes,total_disk_io,page_fault_rate,runtime_ms,throughput,worst_case_slowdown,mean_slowdown,aggregate_wss,memory_ratio_to_wss,slowdown_mean,slowdown_median,fairness_jains_index,fairness_variance,fairness_cv,fairness_max_ratio,fairness_mean,fairness_std,fairness_min,fairness_max,outlier_flag
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_ProportionalAllocation_p2_f207.json,4,synthetic,high_locality,,FIFO,ProportionalAllocation,207,2,148.0,0.0,148.0,0.0,148.0,0.04933333333333333,0.9709,3089916.572252549,1.806677436725902,1.7952601157428636,136.0,1.5220588235294117,1.7952601157428636,1.7952601157428636,0.9999595558146896,0.000260710436859452,0.006359702910413001,1.0128008152025252,1.7952601157428636,0.01141732098303827,1.7838427947598254,1.806677436725902,False
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_ProportionalAllocation_p2_f207.json,5,synthetic,high_locality,,FIFO,ProportionalAllocation,207,2,138.0,0.0,138.0,0.0,138.0,0.046,0.9645,3110419.906687403,1.8350799779371207,1.802905842627097,136.0,1.5220588235294117,1.802905842627097,1.802905842627097,0.9996816320154437,0.002070349965895438,0.017845710269118305,1.0363399324438285,1.802905842627097,0.03217413531002378,1.7707317073170732,1.8350799779371207,False
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_ProportionalAllocation_p2_f207.json,6,synthetic,high_locality,,FIFO,ProportionalAllocation,207,2,148.0,0.0,148.0,0.0,148.0,0.04933333333333333,1.0609,2827787.727401263,1.9412079102084447,1.9372526909837275,141.0,1.4680851063829787,1.9372526909837275,1.9372526909837275,0.9999958316251772,3.12875182311468e-05,0.0020416640756910596,1.0040916819915133,1.9372526909837275,0.00395521922471731,1.9332974717590101,1.9412079102084447,False
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_ProportionalAllocation_p2_f207.json,7,synthetic,high_locality,,FIFO,ProportionalAllocation,207,2,149.0,0.0,149.0,0.0,149.0,0.049666666666666665,0.961,3121748.178980229,1.8280290340591847,1.8017641122805368,131.0,1.5801526717557253,1.8017641122805368,1.8017641122805368,0.9997875464063583,0.0013796922320769877,0.014577336511272704,1.0295859574807504,1.8017641122805368,0.02626492177864792,1.7754991905018889,1.8280290340591847,False
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_ProportionalAllocation_p2_f207.json,8,synthetic,high_locality,,FIFO,ProportionalAllocation,207,2,142.0,0.0,142.0,0.0,142.0,0.04733333333333333,1.0111,2967065.5721491445,1.80927291886196,1.7630896076709404,138.0,1.5,1.7630896076709404,1.7630896076709404,0.999314316857111,0.004265796465133132,0.026194534293709743,1.0537982897327673,1.7630896076709404,0.046183311191019705,1.7169062964799207,1.80927291886196,False
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_ProportionalAllocation_p2_f207.json,9,synthetic,high_locality,,FIFO,ProportionalAllocation,207,2,140.0,0.0,140.0,0.0,140.0,0.04666666666666667,0.967,3102378.4901758013,1.8073792729245794,1.8068976010640596,131.0,1.5801526717557253,1.8068976010640596,1.8068976010640596,0.9999999289383255,4.640155624332863e-07,0.00026657396646948244,1.0005332900941946,1.8068976010640596,0.0004816718605198389,1.8064159292035398,1.8073792729245794,False
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_ProportionalAllocation_p4_f236.json,0,synthetic,high_locality,,FIFO,ProportionalAllocation,236,4,473.0,237.0,473.0,171.0,644.0,0.07883333333333334,2.0946,2864508.736751647,2.0711938663745895,1.9901051504526879,294.0,0.8027210884353742,1.9901051504526879,1.9765058294998417,0.9993979025749675,0.0032985766911175426,0.024992971900288246,1.0697127047407013,1.9901051504526879,0.049738642103882943,1.9362150764364787,2.0711938663745895,False
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_ProportionalAllocation_p4_f236.json,1,synthetic,high_locality,,FIFO,ProportionalAllocation,236,4,475.0,239.0,475.0,171.0,646.0,0.07916666666666666,2.0966,2861776.209100448,2.072607260726073,1.9872050688873297,291.0,0.8109965635738832,1.9872050688873297,1.9789174605448512,0.9992391980199427,0.004097656527858777,0.027896885606957394,1.0803956047539973,1.9872050688873297,0.055436832484315725,1.918378093733544,2.072607260726073,False
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_ProportionalAllocation_p4_f236.json,2,synthetic,high_locality,,FIFO,ProportionalAllocation,236,4,470.0,234.0,470.0,154.0,624.0,0.07833333333333334,2.1123,2840505.6099985796,2.0343915343915344,1.9847774196220647,297.0,0.7946127946127947,1.9847774196220647,1.9763443119007607,0.999760874467686,0.0012827589952582458,0.01562756650155529,1.0421930166731679,1.9847774196220647,0.031017241115929125,1.952029520295203,2.0343915343915344,False
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_ProportionalAllocation_p4_f236.json,3,synthetic,high_locality,,FIFO,ProportionalAllocation,236,4,433.0,197.0,433.0,136.0,569.0,0.07216666666666667,2.0686,2900512.4238615492,2.005359056806002,1.9614617101826486,305.0,0.7737704918032787,1.9614617101826484,1.9609727236879122,0.9996971304520594,0.001555019489974709,0.017410799543693557,1.0452513966480446,1.9614617101826486,0.034150616648620444,1.9185423365487675,2.005359056806002,False
